,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_ct__subpipe_num__num_impute__strategy,param_ct__subpipe_num__poly__degree,param_fsm_1__C,param_fsm_1__max_iter,param_fsm_1__solver,param_fsm_1__tol,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
77,0.06789731979370117,0.005215936212061155,0.008860588073730469,0.0018311076541531477,mean,1,0.01,100,lbfgs,0.001,"{'ct__subpipe_num__num_impute__strategy': 'mean', 'ct__subpipe_num__poly__degree': 1, 'fsm_1__C': 0.01, 'fsm_1__max_iter': 100, 'fsm_1__solver': 'lbfgs', 'fsm_1__tol': 0.001}",0.758,0.772,0.74,0.756,0.7615230460921844,0.7575046092184368,0.010345866746052432,601
78,0.07446260452270508,0.003303597069740446,0.008019781112670899,0.001223101760823515,mean,1,0.01,100,lbfgs,0.01,"{'ct__subpipe_num__num_impute__strategy': 'mean', 'ct__subpipe_num__poly__degree': 1, 'fsm_1__C': 0.01, 'fsm_1__max_iter': 100, 'fsm_1__solver': 'lbfgs', 'fsm_1__tol': 0.01}",0.758,0.772,0.74,0.756,0.7615230460921844,0.7575046092184368,0.010345866746052432,601
79,0.059896659851074216,0.002488023300098244,0.008472633361816407,0.0018686301856425495,mean,1,0.01,100,lbfgs,0.1,"{'ct__subpipe_num__num_impute__strategy': 'mean', 'ct__subpipe_num__poly__degree': 1, 'fsm_1__C': 0.01, 'fsm_1__max_iter': 100, 'fsm_1__solver': 'lbfgs', 'fsm_1__tol': 0.1}",0.758,0.772,0.74,0.756,0.7615230460921844,0.7575046092184368,0.010345866746052432,601
80,0.05007257461547852,0.002795473957218648,0.010979413986206055,0.00017894136338792905,mean,1,0.01,1000,liblinear,0.0001,"{'ct__subpipe_num__num_impute__strategy': 'mean', 'ct__subpipe_num__poly__degree': 1, 'fsm_1__C': 0.01, 'fsm_1__max_iter': 1000, 'fsm_1__solver': 'liblinear', 'fsm_1__tol': 0.0001}",0.758,0.772,0.738,0.756,0.7635270541082164,0.7575054108216432,0.011218959264017453,585
81,0.048613786697387695,0.005919728014378354,0.009295320510864258,0.0010356968344698782,mean,1,0.01,1000,liblinear,0.001,"{'ct__subpipe_num__num_impute__strategy': 'mean', 'ct__subpipe_num__poly__degree': 1, 'fsm_1__C': 0.01, 'fsm_1__max_iter': 1000, 'fsm_1__solver': 'liblinear', 'fsm_1__tol': 0.001}",0.758,0.772,0.738,0.756,0.7635270541082164,0.7575054108216432,0.011218959264017453,585
82,0.04566493034362793,0.0030570340909912676,0.00839686393737793,0.001863223943429104,mean,1,0.01,1000,liblinear,0.01,"{'ct__subpipe_num__num_impute__strategy': 'mean', 'ct__subpipe_num__poly__degree': 1, 'fsm_1__C': 0.01, 'fsm_1__max_iter': 1000, 'fsm_1__solver': 'liblinear', 'fsm_1__tol': 0.01}",0.758,0.772,0.738,0.756,0.7655310621242485,0.7579062124248497,0.011460130157838767,577
83,0.049484968185424805,0.007445844780896264,0.011011743545532226,0.003185213199085861,mean,1,0.01,1000,liblinear,0.1,"{'ct__subpipe_num__num_impute__strategy': 'mean', 'ct__subpipe_num__poly__degree': 1, 'fsm_1__C': 0.01, 'fsm_1__max_iter': 1000, 'fsm_1__solver': 'liblinear', 'fsm_1__tol': 0.1}",0.76,0.77,0.738,0.754,0.7595190380761523,0.7563038076152304,0.010506399322756111,633
84,0.07588715553283691,0.010880170980483593,0.010049724578857422,0.0013614718270573518,mean,1,0.01,1000,lbfgs,0.0001,"{'ct__subpipe_num__num_impute__strategy': 'mean', 'ct__subpipe_num__poly__degree': 1, 'fsm_1__C': 0.01, 'fsm_1__max_iter': 1000, 'fsm_1__solver': 'lbfgs', 'fsm_1__tol': 0.0001}",0.758,0.772,0.74,0.756,0.7615230460921844,0.7575046092184368,0.010345866746052432,601
85,0.07047319412231445,0.0031568746300670593,0.009042119979858399,0.0015536772737590895,mean,1,0.01,1000,lbfgs,0.001,"{'ct__subpipe_num__num_impute__strategy': 'mean', 'ct__subpipe_num__poly__degree': 1, 'fsm_1__C': 0.01, 'fsm_1__max_iter': 1000, 'fsm_1__solver': 'lbfgs', 'fsm_1__tol': 0.001}",0.758,0.772,0.74,0.756,0.7615230460921844,0.7575046092184368,0.010345866746052432,601
86,0.06137638092041016,0.0037003959071494836,0.014914846420288086,0.012616367084411688,mean,1,0.01,1000,lbfgs,0.01,"{'ct__subpipe_num__num_impute__strategy': 'mean', 'ct__subpipe_num__poly__degree': 1, 'fsm_1__C': 0.01, 'fsm_1__max_iter': 1000, 'fsm_1__solver': 'lbfgs', 'fsm_1__tol': 0.01}",0.758,0.772,0.74,0.756,0.7615230460921844,0.7575046092184368,0.010345866746052432,601
87,0.0786275863647461,0.01946643945946313,0.013544750213623048,0.0052109993148518555,mean,1,0.01,1000,lbfgs,0.1,"{'ct__subpipe_num__num_impute__strategy': 'mean', 'ct__subpipe_num__poly__degree': 1, 'fsm_1__C': 0.01, 'fsm_1__max_iter': 1000, 'fsm_1__solver': 'lbfgs', 'fsm_1__tol': 0.1}",0.758,0.772,0.74,0.756,0.7615230460921844,0.7575046092184368,0.010345866746052432,601
88,0.060883712768554685,0.008524598652230412,0.01124262809753418,0.0028826422523763116,mean,1,0.01,10000,liblinear,0.0001,"{'ct__subpipe_num__num_impute__strategy': 'mean', 'ct__subpipe_num__poly__degree': 1, 'fsm_1__C': 0.01, 'fsm_1__max_iter': 10000, 'fsm_1__solver': 'liblinear', 'fsm_1__tol': 0.0001}",0.758,0.772,0.738,0.756,0.7635270541082164,0.7575054108216432,0.011218959264017453,585
